測点,工種名,測定項目,設計値,実測値1
No.1,整地工田番5,均平度,1375,1380
No.2,整地工田番5,均平度,1375,1386
No.3,整地工田番5,均平度,1375,1372
No.4,整地工田番5,均平度,1375,1386
No.5,整地工田番5,均平度,1375,1378
No.6,整地工田番5,均平度,1375,1376
No.7,整地工田番5,均平度,1375,1370
No.8,整地工田番5,均平度,1375,1385
No.9,整地工田番5,均平度,1375,1380
