工種,測定項目,田番,No,実測値,規格値,社内規格値
整地工,均平度,9,1,1.446,±50mm,±40mm
整地工,均平度,9,2,1.456,±50mm,±40mm
整地工,均平度,9,3,1.461,±50mm,±40mm
整地工,均平度,9,4,1.447,±50mm,±40mm
整地工,均平度,9,5,1.46,±50mm,±40mm
整地工,均平度,9,6,1.444,±50mm,±40mm
整地工,均平度,9,7,1.446,±50mm,±40mm
整地工,均平度,9,8,1.45,±50mm,±40mm
整地工,均平度,9,9,1.448,±50mm,±40mm
整地工,均平度,9,10,1.465,±50mm,±40mm
