工種,測定項目,田番,No,実測値,規格値,社内規格値
整地工,均平度,8,1,1.409,±50mm,±40mm
整地工,均平度,8,2,1.396,±50mm,±40mm
整地工,均平度,8,3,1.391,±50mm,±40mm
整地工,均平度,8,4,1.406,±50mm,±40mm
整地工,均平度,8,5,1.395,±50mm,±40mm
整地工,均平度,8,6,1.399,±50mm,±40mm
整地工,均平度,8,7,1.399,±50mm,±40mm
整地工,均平度,8,8,1.397,±50mm,±40mm
整地工,均平度,8,9,1.393,±50mm,±40mm
整地工,均平度,8,10,1.407,±50mm,±40mm
