,,,,,,,,
,,,,,,,,
,,,,,,,,
工種,数量,項目,規格値,社内規格値,単位,測定基準,管理方法,頁
,,,,,,,,
,,,,,,,,
,,実測値,,,,,,
,,,,,,,,
,,1.418,,,,,,
,,,,,,,,
,,1.4,,,,,,
,,,,,,,,
,,1.409,,,,,,
,,,,,,,,
,,1.415,,,,,,
,,,,,,,,
,,1.419,,,,,,
,,,,,,,,
,,1.421,,,,,,
,,,,,,,,
,,1.412,,,,,,
,,,,,,,,
,,1.403,,,,,,
,,,,,,,,
,,1.416,,,,,,
,,,,,,,,
,,1.406,,,,,,
,,,,,,,,
,,1.404,,,,,,
,,,,,,,,
,,1.41,,,,,,
,,,,,,,,
,,1.411,,,,,,
,,,,,,,,
,,1.42,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
