測定項目,厚さ(個々の測定値(X)) ,,,幅(個々の測定値(X)) ,,,平坦性(個々の測定値(X)) ,,,,,,略図
規格値,,,,,,,,,,,,,
社内規格値,,,,,,,,,,,,,
測点又は区別,設計値,実測値,差,設計値,実測値,差,設計値,実測値,差,設計値,実測値,差,
,0,1.418,,,,,,,,,,,
,1,1.400,,,,,,,,,,,
,2,1.409,,,,,,,,,,,
,3,1.409,,,,,,,,,,,
,4,1.415,,,,,,,,,,,
