画像名,分類,理由,保存先
IMG_0026.jpeg,除外,"分類エラー: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-********************************************************************************************************************************************************reIA. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",C:/Users/user/foolder/634/photo_sorted\除外\IMG_0026.jpeg
IMG_0041.jpeg,除外,"分類エラー: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-********************************************************************************************************************************************************reIA. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",C:/Users/user/foolder/634/photo_sorted\除外\IMG_0041.jpeg
IMG_0043.jpeg,除外,"分類エラー: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-********************************************************************************************************************************************************reIA. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",C:/Users/user/foolder/634/photo_sorted\除外\IMG_0043.jpeg
IMG_0047.jpeg,除外,"分類エラー: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-********************************************************************************************************************************************************reIA. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",C:/Users/user/foolder/634/photo_sorted\除外\IMG_0047.jpeg
