測点,工種名,測定項目,設計値,実測値1
No.1,整地工田番9,均平度,1452,1446
No.2,整地工田番9,均平度,1452,1456
No.3,整地工田番9,均平度,1452,1461
No.4,整地工田番9,均平度,1452,1447
No.5,整地工田番9,均平度,1452,1460
No.6,整地工田番9,均平度,1452,1444
No.7,整地工田番9,均平度,1452,1446
No.8,整地工田番9,均平度,1452,1450
No.9,整地工田番9,均平度,1452,1448
No.10,整地工田番9,均平度,1452,1465
