測点,工種,測定項目,実測値
No.1,整地工田番14,均平度,1.382
No.2,整地工田番14,均平度,1.378
No.3,整地工田番14,均平度,1.385
No.4,整地工田番14,均平度,1.377
No.5,整地工田番14,均平度,1.384
No.6,整地工田番14,均平度,1.372
No.7,整地工田番14,均平度,1.373
No.8,整地工田番14,均平度,1.386
No.9,整地工田番14,均平度,1.382
No.10,整地工田番14,均平度,1.389
No.11,整地工田番14,均平度,1.381
