測点,工種名,測定項目,設計値,実測値1
No.1,整地工田番1,均平度,1428,1426
No.2,整地工田番1,均平度,1428,1430
No.3,整地工田番1,均平度,1428,1428
No.4,整地工田番1,均平度,1428,1430
No.5,整地工田番1,均平度,1428,1434
No.6,整地工田番1,均平度,1428,1430
No.7,整地工田番1,均平度,1428,1427
No.8,整地工田番1,均平度,1428,1433
No.9,整地工田番1,均平度,1428,1426
No.10,整地工田番1,均平度,1428,1417
No.11,整地工田番1,均平度,1428,1430
No.12,整地工田番1,均平度,1428,1429
