測点,工種名,測定項目,設計値,実測値1
No.1,整地工田番7,均平度,1414,1418
No.2,整地工田番7,均平度,1414,1400
No.3,整地工田番7,均平度,1414,1408
No.4,整地工田番7,均平度,1414,1420
No.5,整地工田番7,均平度,1414,1415
No.6,整地工田番7,均平度,1414,1420
No.7,整地工田番7,均平度,1414,1418
No.8,整地工田番7,均平度,1414,1419
No.9,整地工田番7,均平度,1414,1421
No.10,整地工田番7,均平度,1414,1409
