測点,工種名,測定項目,設計値,実測値1
No.1,整地工田番13,均平度,1416,1411
No.2,整地工田番13,均平度,1416,1424
No.3,整地工田番13,均平度,1416,1415
No.4,整地工田番13,均平度,1416,1417
No.5,整地工田番13,均平度,1416,1409
No.6,整地工田番13,均平度,1416,1413
No.7,整地工田番13,均平度,1416,1422
No.8,整地工田番13,均平度,1416,1421
No.9,整地工田番13,均平度,1416,1408
No.10,整地工田番13,均平度,1416,1416
No.11,整地工田番13,均平度,1416,1420
No.12,整地工田番13,均平度,1416,1418
No.13,整地工田番13,均平度,1416,1421
No.14,整地工田番13,均平度,1416,1411
No.15,整地工田番13,均平度,1416,1415
No.16,整地工田番13,均平度,1416,1412
No.17,整地工田番13,均平度,1416,1410
No.18,整地工田番13,均平度,1416,1418
No.19,整地工田番13,均平度,1416,1420
No.20,整地工田番13,均平度,1416,1414
No.21,整地工田番13,均平度,1416,1419
No.22,整地工田番13,均平度,1416,1420
