測点,工種名,測定項目,設計値,実測値1
No.1,整地工田番19,均平度,1410,1418
No.2,整地工田番19,均平度,1410,1400
No.3,整地工田番19,均平度,1410,1409
No.4,整地工田番19,均平度,1410,1409
No.5,整地工田番19,均平度,1410,1415
No.6,整地工田番19,均平度,1410,1419
No.7,整地工田番19,均平度,1410,1421
No.8,整地工田番19,均平度,1410,1409
No.9,整地工田番19,均平度,1410,1412
No.10,整地工田番19,均平度,1410,1403
No.11,整地工田番19,均平度,1410,1403
No.12,整地工田番19,均平度,1410,1416
No.13,整地工田番19,均平度,1410,1418
No.14,整地工田番19,均平度,1410,1406
No.15,整地工田番19,均平度,1410,1409
No.16,整地工田番19,均平度,1410,1406
No.17,整地工田番19,均平度,1410,1406
No.18,整地工田番19,均平度,1410,1404
No.19,整地工田番19,均平度,1410,1410
No.20,整地工田番19,均平度,1410,1415
No.21,整地工田番19,均平度,1410,1406
No.22,整地工田番19,均平度,1410,1411
No.23,整地工田番19,均平度,1410,1406
No.24,整地工田番19,均平度,1410,1400
No.25,整地工田番19,均平度,1410,1415
No.26,整地工田番19,均平度,1410,1421
No.27,整地工田番19,均平度,1410,1411
No.28,整地工田番19,均平度,1410,1419
No.29,整地工田番19,均平度,1410,1416
No.30,整地工田番19,均平度,1410,1406
