田番,工種,測定項目,面積,測定基準,規格値,社内目標値,設計値,Xmax,Xmin
19,整地工,均平度,9750㎡,10a当たり3点以上,±50mm,±40mm,1410,1.400,1.421
18,整地工,均平度,5240㎡,10a当たり3点以上,±50mm,±40mm,1389,1.400,1.382
17,整地工,均平度,4240㎡,10a当たり3点以上,±50mm,±40mm,1433,1.422,1.441
16,整地工,均平度,3770㎡,10a当たり3点以上,±50mm,±40mm,1375,1.385,1.367
15,整地工,均平度,3700㎡,10a当たり3点以上,±50mm,±40mm,1341,1.333,1.347
14,整地工,均平度,3850㎡,10a当たり3点以上,±50mm,±40mm,1380,1.373,1.389
13,整地工,均平度,7300㎡,10a当たり3点以上,±50mm,±40mm,1416,1.408,1.424
12,整地工,均平度,7890㎡,10a当たり3点以上,±50mm,±40mm,1460,1.453,1.470
