測点,工種,測定項目,実測値
No.1,整地工田番16,均平度,1.381
No.2,整地工田番16,均平度,1.384
No.3,整地工田番16,均平度,1.374
No.4,整地工田番16,均平度,1.371
No.5,整地工田番16,均平度,1.367
No.6,整地工田番16,均平度,1.374
No.7,整地工田番16,均平度,1.377
No.8,整地工田番16,均平度,1.371
No.9,整地工田番16,均平度,1.370
No.10,整地工田番16,均平度,1.385
No.11,整地工田番16,均平度,1.372
No.12,整地工田番16,均平度,1.380
